name,value,unit,sector,source_group,ratio_to_planck,log_u,phase,nearest_band,distance_to_band
top_quark_mass,172570000000.0,eV,massive_particle,PDG/NIST,7.074752274439358e+16,38.7978939166075,0.2744863725088921,1/3,0.0588469608244412
higgs_mass,125250000000.0,eV,massive_particle,PDG/NIST,9.747624750499002e+16,39.118385127902016,0.2767537757395493,1/3,0.0565795575937839
Z_boson_mass,91187600000.0,eV,massive_particle,PDG/NIST,1.3388772157617922e+17,39.43577794494305,0.2789992585277962,1/3,0.054334074805537
W_boson_mass,80360200000.0,eV,massive_particle,PDG/NIST,1.519271977919418e+17,39.56217783912295,0.279893509347532,1/3,0.0534398239858012
bottom_quark_mass,4183000000.0,eV,massive_particle,PDG/NIST,2.9186947167104947e+18,42.517668175406925,0.3008029386875721,1/3,0.0325303946457612
tau_mass,1776860000.0,eV,massive_particle,PDG/NIST,6.871053431333927e+18,43.37384910626634,0.3068602261895179,1/3,0.0264731071438153
charm_quark_mass,1273000000.0,eV,massive_particle,PDG/NIST,9.590652003142185e+18,43.70732054829172,0.3092194616329056,1/3,0.0241138717004277
proton_mass,938272089.43,eV,massive_particle,NIST,1.301211038624937e+19,44.01241216588705,0.3113779162020276,1/3,0.0219554171313057
neutron_mass,939565421.0,eV,massive_particle,NIST,1.2994198942534306e+19,44.01103469657214,0.3113681709164638,1/3,0.0219651624168695
muon_mass,105658375.5,eV,massive_particle,NIST,1.1555070709941022e+20,46.1962411300182,0.3268280149066798,1/3,0.0065053184266534
strange_quark_mass,93500000.0,eV,massive_particle,PDG,1.305764705882353e+20,46.318490710554485,0.3276929031909321,1/3,0.0056404301424011
QCD_scale,200000000.0,eV,massive_particle,PDG,6.10445e+19,45.55813478030109,0.3223135560140087,1/3,0.0110197773193246
down_quark_mass,4700000.0,eV,massive_particle,PDG,2.5976382978723404e+21,49.30888963813312,0.3488493029622657,1/3,0.0155159696289324
up_quark_mass,2160000.0,eV,massive_particle,PDG,5.652268518518519e+21,50.08634392515305,0.354349617167317,1/3,0.0210162838339836
